number,accountHolder,balance
7157860161134113,Janis Grabowsky,1127.46
1709466010547053,Natalie Linscomb,1392.45
5080600567778386,Denny Powless,2208.96
1498799927774343,Lora Vasiloff,327.96
8633720646175721,Conchita Mcgoogan,1045.95
4676768899854001,Katherin Guglielmi,889.2
0180323394504657,Dion Skoog,1091.16
6341390381372200,Shalon Shigeta,2457.71
3864273082401037,Margorie Kurpinski,1953.27
0086617056121047,Lela Hortman,2271.48
3384783148187728,Page Norise,881.42
2863189729596646,Suk Rudloff,807.14
5573798454513934,George Breaker,848.89
6406594142154723,Lorine Reliford,1478.58
6787614557891474,Joi Forcum,746.99
3377897050701034,Fidelia Tannazzo,165.37
7554112577630955,Leigh Elftman,401.36
8165189998587807,Luna Schwarm,1830.4
6195917437280405,Vada Klecker,1934.57
6991397103777239,Stephani Cristaldi,809.18
2853367921350747,Jayne Krings,1821.32
6410323381160347,Lynell Carmichel,1286.83
9052179287026736,Hildegard Drexler,1311.39
9010477255702375,Danika Gange,1190.36
2904520131060973,Kit Olenski,543.16
2017063688449160,Shauna Krallman,2220.5
7976355570191638,Virginia Peroff,29.91
8813992122266024,Mitchel Lessner,2493.85
1038480245134281,Lawanna Alegria,2046.76
4180348592947987,Vella Valderrama,72.22
0478508433072100,Reena Seide,1221.03
3576572462730991,Ashanti Savela,2171.68
0882304130564973,Birdie Sprang,1731.68
5400094890438789,Lorilee Mesecher,1653.15
5839136119238002,Wilfred Luffman,719.12
1361712788550334,Laraine Moeck,1057.21
1010492762089071,Carey Heidt,1370.04
9388274534423904,Rosanne Beschorner,1237.7
8202003297278783,Gena Canes,1908.92
5527776053644224,Tandy Binderup,1047.17
3116699128732025,Hisako Cerecer,2196.19
7698957902658189,Dave Petit,2245.16
6819180046199376,Zella Lendrum,1329.15
5331058509488414,Roselee Lehtonen,620.54
4901659592267401,Juan Rebolloso,219.84
6206160821767086,Aura Woodfork,645.0
6343356446104704,Ladawn Gutjahr,291.27
0856578541306908,Cherelle Minas,1287.42
9310202522396231,Laine Haskel,1273.94
4317009727349210,Wai Lubeck,1910.69
2801352184213745,Trinity Olcus,193.36
0544057643885059,Ricarda Baldassano,641.14
1136901785393392,Chun Protich,2322.8
8737333120877616,Richelle Bondura,26.21
9118290053562366,Natividad Hansmann,618.39
1498011146810365,Patricia Nicoulin,1132.19
7667649442577097,Candyce Blackstock,283.42
9424269609904108,Ranee Hickingbottom,1121.22
9244087860119309,Faith Peretz,1786.13
3331779625300168,Stephen Cutrell,1559.17
2329920872641971,Mika Lahn,651.22
5935461227326934,King Eliezrie,1693.42
3527736782976227,Armand Tadena,1435.97
7808749595252000,Natashia Ducatelli,1252.64
6657194223740956,Marry Ran,1603.54
5062774654686356,Judie Smolinski,867.32
9743975024100642,Marhta Knott,1108.17
0607702837914869,Rashad Cyphers,748.99
3625496949692692,Larry Stubler,779.66
0414423090159702,Daniela Bleything,252.47
5529644643256601,Erin Volden,1012.46
9831064381175472,Archie Ono,374.72
6327175781041516,Malcom Neria,1131.3
2354346417753444,Fermina Hegel,1266.91
6272677960250540,Loni Santore,64.37
8901818948458243,Thora Johnsey,827.73
3694715094882759,Coreen Strupp,2134.19
3244674239357512,Morton Italiano,1818.92
9308528277354941,Kathey Bacha,2395.93
2712008768471061,Adella Dukart,728.97
4112022423965617,Earnestine Erlenbusch,2.98
3313320642174526,Clair Apodace,561.16
4037907973301133,Kristopher Marinello,817.37
5101415709368747,Sammie Esquivel,691.04
9725464664725929,Collen Tigert,1992.3
4767961889516082,Florentina Aukerman,727.67
0754829907955843,Theodora Mcritchie,2407.48
7118828603481283,Alva Mccreadie,537.23
2155605662250187,Bettyann Spasiano,1359.05
5584648449760288,Francine Ploense,687.14
1152248668951130,Antonetta Jethro,31.36
3085002430450121,Harland Burr,587.04
0394558527070009,Angelique Lascaro,360.63
7996137846310839,Marjorie Gulino,620.09
5605728689605347,Danny Martey,1661.93
2392267321108548,Margherita Noftsier,2128.42
4640502931335693,Yuette Hopfauf,1889.77
8333711039675783,Sharee Parrella,955.22
5026695539267796,Francina Fanara,947.97
8656037654845702,Lee Jarvie,724.46
