transactionNumber,cardNumber,date,vendor,purchaseAmount
0,2853367921350747,2017-04-10,Veggie Grill,424.29
1,3116699128732025,2017-04-02,The Body Shop,807.3
2,0180323394504657,2017-04-01,Lemon Grass,442.74
3,3116699128732025,2017-04-15,Veggie Grill,1663.29
4,6341390381372200,2017-04-29,Amazon,45.55
5,1038480245134281,2017-04-11,Jamba Juice,1814.06
6,0856578541306908,2017-04-03,Ralph's,1377.41
7,2863189729596646,2017-04-18,Whole Foods,1425.73
8,9308528277354941,2017-04-18,Ralph's,1002.64
9,4640502931335693,2017-04-29,Ralph's,278.98
10,6206160821767086,2017-04-08,Jamba Juice,1781.04
11,6657194223740956,2017-04-11,Jamba Juice,1688.38
12,0754829907955843,2017-04-22,Veggie Grill,133.04
13,0414423090159702,2017-04-28,The Body Shop,359.07
14,7157860161134113,2017-04-29,Veggie Grill,733.58
15,5605728689605347,2017-04-13,Jamba Juice,938.92
16,5400094890438789,2017-04-21,Amazon,87.9
17,6272677960250540,2017-04-05,Amazon,1768.04
18,8737333120877616,2017-04-04,Veggie Grill,752.83
19,3331779625300168,2017-04-15,Ralph's,546.58
20,5400094890438789,2017-04-12,Walmart,1699.07
21,4767961889516082,2017-04-23,Panda Express,1658.56
22,6327175781041516,2017-04-26,Amazon,1207.63
23,7667649442577097,2017-04-16,Panda Express,495.08
24,6787614557891474,2017-04-03,The Body Shop,220.69
25,0180323394504657,2017-04-12,Whole Foods,74.23
26,3331779625300168,2017-04-14,Jamba Juice,1903.65
27,0086617056121047,2017-04-08,Jamba Juice,1786.34
28,7118828603481283,2017-04-06,Amazon,1723.55
29,6819180046199376,2017-04-23,Panda Express,398.35
30,4112022423965617,2017-04-21,The Body Shop,1226.52
31,3625496949692692,2017-04-07,Panda Express,196.93
32,3116699128732025,2017-04-18,Jamba Juice,1242.78
33,0394558527070009,2017-04-05,Panda Express,970.84
34,9052179287026736,2017-04-18,Panda Express,17.94
35,9118290053562366,2017-04-26,Panda Express,532.15
36,3331779625300168,2017-04-01,Veggie Grill,1039.15
37,4767961889516082,2017-04-17,Amazon,726.34
38,3576572462730991,2017-04-24,Lemon Grass,1589.1
39,5101415709368747,2017-04-27,Jamba Juice,1923.37
40,3384783148187728,2017-04-15,Walmart,1531.53
41,2863189729596646,2017-04-20,Veggie Grill,325.49
42,7157860161134113,2017-04-26,Amazon,1941.57
43,3694715094882759,2017-04-24,Ralph's,1051.47
44,3527736782976227,2017-04-16,Jamba Juice,1092.84
45,4112022423965617,2017-04-08,Veggie Grill,808.2
46,0607702837914869,2017-04-15,Panda Express,369.48
47,5101415709368747,2017-04-21,Walmart,1455.38
48,5573798454513934,2017-04-11,Walmart,1974.12
49,7808749595252000,2017-04-11,Panda Express,291.85
50,8901818948458243,2017-04-25,Lemon Grass,1157.8
51,0394558527070009,2017-04-13,Amazon,1296.97
52,2863189729596646,2017-04-20,Veggie Grill,130.95
53,1038480245134281,2017-04-06,Veggie Grill,1668.77
54,2354346417753444,2017-04-04,Walmart,69.94
55,4676768899854001,2017-04-22,Walmart,1104.42
56,0478508433072100,2017-04-09,Ralph's,673.97
57,7808749595252000,2017-04-10,Amazon,626.94
58,7698957902658189,2017-04-27,Whole Foods,734.03
59,6206160821767086,2017-04-09,The Body Shop,1103.64
60,9310202522396231,2017-04-09,The Body Shop,49.84
61,6657194223740956,2017-04-06,Lemon Grass,1623.94
