transactionNumber,cardNumber,date,vendor,purchaseAmount
0,2406729623406659,2017-04-13,Jamba Juice,554.97
1,6996158858577208,2017-04-25,Walmart,1220.4
2,8115483506942063,2017-04-11,Veggie Grill,1857.44
3,6810858189116666,2017-04-20,Walmart,1204.9
4,8115483506942063,2017-04-12,Whole Foods,441.95
5,3161355321967777,2017-04-08,Walmart,679.15
6,2406729623406659,2017-04-29,Whole Foods,837.04
7,8115483506942063,2017-04-05,Whole Foods,933.71
8,8115483506942063,2017-04-29,Lemon Grass,963.93
9,3310684449857243,2017-04-28,Lemon Grass,310.8
10,2406729623406659,2017-04-05,Whole Foods,738.16
11,3461105557040304,2017-04-19,Jamba Juice,1984.93
12,3161355321967777,2017-04-27,Whole Foods,1715.95
13,4994638290973673,2017-04-26,Jamba Juice,1279.91
14,6996158858577208,2017-04-22,Veggie Grill,663.18
15,8348169515222807,2017-04-05,Panda Express,411.83
16,4994638290973673,2017-04-18,Veggie Grill,1580.67
17,2406729623406659,2017-04-26,Whole Foods,595.85
18,4994638290973673,2017-04-02,Jamba Juice,897.18
19,8115483506942063,2017-04-19,Whole Foods,603.5
20,8348169515222807,2017-04-25,Walmart,1765.55
21,3310684449857243,2017-04-01,Amazon,1428.54
22,8115483506942063,2017-04-08,Veggie Grill,1412.2
23,6996158858577208,2017-04-10,Ralph's,504.98
24,6996158858577208,2017-04-08,Walmart,1759.65
25,8348169515222807,2017-04-11,Ralph's,1679.28
26,2406729623406659,2017-04-25,Lemon Grass,1745.34
27,6810858189116666,2017-04-16,The Body Shop,1099.82
28,3310684449857243,2017-04-22,Jamba Juice,300.52
29,4994638290973673,2017-04-18,Amazon,1546.6
